标题	标题链接	iteminfo__line2__jobdesc__salary	iteminfo__line2__jobdesc__demand	iteminfo__line2__jobdesc__demand1	iteminfo__line2__jobdesc__demand2	iteminfo__line1__compname__name	iteminfo__line2__compdesc	iteminfo__line2__compdesc1	详情标题	职位描述	工作地点
ba工程师	http://jobs.zhaopin.com/CC000544460J40125836716.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-2万	西安-雁塔区	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	ba工程师	职位描述MySQLPGOracle分布式数据库Shell 1、3年以上oracle、pg开发经验，有制造及大数据项目经验优先  2、计算机、软件工程等相关专业本科学历，优秀可放宽至大专；  3、熟悉shell语言、懂性能调优，熟悉分布式数据库相关理论及知识；  4、精通oracle、myslq、pg语言，有良好的设计和开发理念；  5、良好的沟通和团队协作能力，有华为外包经验优先.	环普产业园
数据分析专员	http://jobs.zhaopin.com/CC357790320J40159201114.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	3千-5千	西安	1-3年	本科	识代运筹	上市公司	20-99人	数据分析专员	职位描述数据统计分析电子商务策划市场营销计算机信息统计工作职责：• 负责洞察分析项目的数据调研、数据处理、统计分析等工作，并能协助进行具体板块分析报告撰写• 负责舆情项目的监测和分析，能独立完成每日、每周、每月和专项等常规分析报告撰写• 负责数据项目协助体系搭建，数据处理与审核，数据的管理.• 严格按照项目流程和计划执行项目工作，及时沟通与反馈数据和分析问题• 持续进行数据体系、行业规则、处理流程的积累和优化• 不断学习先进的分析工具、分析技术和专业知识，确保高技能和服务能力任职资格：• 本科或以上学历，数理统计、市场营销、企业管理、社会学、新闻学、心理学、广告学、电子商务、计算机信息系统等相关专业为佳• 1年以上相关数据分析工作经验，优秀应届毕业生亦可• 掌握excel、PPT操作，了解SPSS、SQL、统计分析知识者优先考虑• 对大数据、互联网行业有基础了解，喜欢数据和研究工作• 对数据有较强的敏感度和警觉性，学习能力强• 积极认真，有较强的沟通和团队协作能力	西安市高新区唐延南路8号泰维智链中心二期B座406
（西安）数据分析工程师	http://jobs.zhaopin.com/CC856182520J40099873006.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-2万	西安-高新技术产业开发区	1-3年	本科	中电太极	国企	1000-9999人	（西安）数据分析工程师	职位描述数据分析数据挖掘大数据分析机器学习数据建模 岗位职责: 1）负责数据平台的设计和开发 2）承担数据建模、数据治理等工作； 4）参与数据分析讨论，为产品优化决策提供支持 任职要求:  学历：■本科 ■硕士 □博士  专业：计算机/数学相关专业  经验：优先考虑有数据治理相关经验者  其他要求：  1）精通数据建模、数据仓库建设、ETL开发；  2）具备体系化的数据资产管理、数据质量和数据治理相关经验  3）熟悉hive、hadoop、spark等大数据存储和查询技术  4）有Java、QT C++等开发经验者优先  6）有*工项目建设经验者优先	软件新城二期A12
数据分析师	http://jobs.zhaopin.com/CC120109940J40072948613.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安-高新技术产业开发区	5-10年	本科	深圳易宝软件有限公司	上市公司	1000-9999人	数据分析师	职位描述数据分析Python数据清洗BI数据建模数据仓库 技能要求： 数据分析，数据挖掘，数据建模，数据仓库，大数据平台，大数据分析 1.负责发布数据质量要求和路标规划，与各部门密切沟通，准确拆分质量目标，把握质量控制方向，建立质量评价体系，策划制定质量控制方案； 2.对数据进行分析和处理，保证优质数据的输出； 3.负责质量管理与跟踪，对数据质量进行验证； 4.负责对数据质量badcase挖掘监控，并推送问题的解决、改进，不断满足客户的需求； 5.数据数据仓库建设流程及方法，李杰维度建模、关系建模，有一定的模型设计及ETL开发经验。   技能要求：    1.良好的业务分析和数据分析能力，善于总结问题并能积极进行过程优化，具有良好的学习能力；  2.有独立负责数据项目经验者为佳；  3.有项目管理工作经验、团队管理经验者为佳；      持有华为开发者学院相关证书，有优先录取资格，详情见 华为开发者学院 人才计划（https://developer.huawei.com/consumer/cn/training/landings/kg97brca）	环普科技园G1栋10楼
数据分析工程师	http://jobs.zhaopin.com/CC436145230J40100126601.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	2万-2.5万	西安	5-10年	本科	西安银松网络科技有限公司	民营	20-99人	数据分析工程师	职位描述大数据分析数据分析工作地点：西安、北京、杭州、上海、广州岗位职责：1、根据运营业务需求完成店铺运营数据库分析建模、对数据进行可视化处理；2、负责公司大数据分析平台的搭建、实施运维工作。任职资格：1、计算机软件工程相关专业本科以上学历，5年以上淘宝运营数据分析工作经验；2、精通电商行业数据分析模型，精通淘宝、京东平台API接口数据规则，数据逻辑；3、有过淘宝、京东平台接口开发经验的优先。 福利待遇：1、工资+五险+福利补贴， 节假日礼品享不完；2、免费班车，上下班通勤无忧；3、多维度晋升考核机制，先进评优，每年2次调薪机会；4、半个月超长带薪春节假，春节大礼邮寄到家！！！5、我们还为员工提供了员工内购、生日会、运动设施、茶水间、团建等，更多福利等您来解锁。 培训体系：入职阶段：为期1-3天的岗前培训；新人阶段：专业培训师带教+职业素养培训+丰富产品知识培训；成长阶段：定期专业课程培训+专业岗位技能培训。 晋升通道：1.管理路线：专员-＞组长-＞主管-＞经理；2.内部竞聘：所有岗位优先内部竞聘。 工作时间：早8:30—晚18:00，午休1.5小时，每月6天假，法定节假日调休。工作地址：灞桥区港务大道99号中西部陆港金融小镇A座18层(一整层)。面试流程：初试---测评---复试---谈薪---发放offer，1-3个工作日可获得面试结果。温馨提示：请您参加面试时携带最新更新的简历，并注明应聘职位。	灞桥区新筑街道西安国际港务区港务大道金融小镇A座18层
数据实施工程师	http://jobs.zhaopin.com/CC200911980J40079329115.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	6千-1万	西安-高新技术产业开发区	1-3年	大专	美林数据技术股份有限公司	股份制企业	500-999人	数据实施工程师	职位描述ETLSQLHadoop数据库OracleMySQL岗位要求：1.一年以上大数据实施、可视化或者数据处理等实施经验，本科学历；2.学习能力强，具备较好的沟通表达及团队合作经验；3.熟练掌握常用数据库搭建及操作，可熟练使用SQL、编写存储过程；4.熟悉hadoop、hbase；HIVE、spark； fink、kaffka的优先；5.熟悉常用ETL工具，如kettle或informatica等优先；6.熟悉tempo、tableau等数据可视化工具优先；7.可熟练使用linux操作系统。	西安市雁塔区天谷八路国家电子商务基地六层
数据分析师	http://jobs.zhaopin.com/CC300255130J40104904115.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	8千-1.2万	西安-雁塔区	3-5年	本科	贝壳找房(北京)科技有限公司	上市公司	10000人以上	数据分析师	职位描述TableauSQL大数据分析岗位职责1.负责对接部门数据需求，挖掘有价值的数据线索；  2.对业务数据挖掘、识别、有效分类；  3.分析和研究业务数据，提取违规特征，梳理违规人员画像。     任职要求   1.精通SQL，熟悉大数据处理，掌握编程语言为加分项；   2.有强烈的上进心和求知欲，善于学习新事物；   3.统招本科及以上学历，扎实的数学和数据挖掘功底；    4.具备优秀的风险识别能力和风控意识。	泰华金贸国际
数据分析/行政助理 综合薪资4K	http://jobs.zhaopin.com/CC343953935J00327916702.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	4千-6千	西安	无经验	本科	西安百年行房地产营销策划有限公司	民营	1000-9999人	数据分析/行政助理 综合薪资4K	职位描述数据建模行业分析数据监控大数据平台大数据分析岗位描述：1.每日按照要求进行数据更新及汇总，推送相关数据信息，确保准确无误；2.负责大数据处理及整理工作，提供数据支持；3.负责各类报告的编写工作；4.上级交代的其他临时工作；任职要求：2、具有一定的数据分析能力，会SQL语言优先3.性格稳重，热爱本职工作，外型端庄大方，谈吐条理清晰；4、熟练操作各类办公软件及办公设备，打字速度快；5、具备良好的文字写作和语言表达能力，普通话标准；6、具备良好的事务处理能力及服务精神；7、性格稳重，热爱本职工作，外型端庄大方，谈吐条理清晰；薪资：试用期3000+ 转正以后综合薪资4000+根据情况就近安排	曲江
数据开发工程师	http://jobs.zhaopin.com/CC532104930J40045650108.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	8千-1.3万	西安-未央区	3-5年	本科	北京国智云鼎科技有限公司	其它	20-99人	数据开发工程师	职位描述ETL数据仓库KettleOracleDBA数据采集Kafka大数据分析岗位职责：　　 1.负责ETL数据分析挖掘、加工、清洗、处理程序的开发;2.负责大数据相关平台的搭建、开发、维护、优化;　　任职要求: 　　 1.计算机相关专业，本科及以上学历，学习能力突出;2.熟练掌握Oracle、MySql等主流数据库，精通存储过程，sql，视图，索引等开发4.熟悉kettle等ETL数据抽取工具5.具有良好的沟通能力、组织能力及团队协作精神，有较强的分析和解决问题的能力，有较好的沟通协调能力、文档编写能力文档编写能力6.有项目经理经验优先。	锦园国际广场1005 北京国智云鼎软件有限公司
中高级数据库开发工程师	http://jobs.zhaopin.com/CC193399810J40151605407.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"面议
          · 13薪"	西安-雁塔区	3-5年	本科	东华软件	上市公司	1000-9999人	中高级数据库开发工程师	职位描述数据库SQLMySQLOracle数据仓库架构数据处理数据库架构Java  职责描述： 1. 负责业务系统中数据库部分的规划、设计、优化、实施与维护； 2. 理解分析数据需求和数据特点，优化存储和计算架构的性能，支持大规模数据存储、大规模并发等技术； 3. 负责数据库的定期备份和数据恢复、异常处理，保证数据安全； 4. 项目数据库设计文档的编写； 5. 研究学习数据库领域的前沿技术，并能应用到项目中。  任职要求： 1. 精通各类数据库开发、性能调优，3年以上SQL编程、存储过程、性能优化数据库开发经验； 2. 精通mysql、oracle等一种或多种数据库，有大数据存储性能优化经验； 3. 熟悉JAVA主流编程语言，能识别糟糕的编码方式，理解并修改这些代码，使之变得高效； 4. 熟悉关系型数据库、分布式数据库的体系架构和理论； 5. 有工作热情，爱岗敬业，有良好的抗压能力和团队协作能力。	天谷七路88号
高级数据库工程师	http://jobs.zhaopin.com/CC320703385J00015488019.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	8千-1.2万	西安-长安区	5-10年	本科	国际医学	上市公司	10000人以上	高级数据库工程师	职位描述数据库开发 岗位职责： 1、负责公司oracle、DB2数据库及相关系统维护管理、性能调优工作； 2、参与公司数据分析产品的大数据基础架构设计与优化，设计数据整体架构及其细节； 3、 负责公司各个项目的数据库系统部署方案的计划、设计和实施指导，参与项目的数据库设计； 4、 指导各个实施项目成员，对数据库语句进行优化，解决性能问题； 5、 负责研发及使用新技术和新架构满足日益增长的数据需求； 6、 负责数据库的日常维护，包括：日常维护，性能监控，性能优化，安全管理等。 任职要求： 1. 计算机相关专业大学本科及以上学历，具备三年以上大型Oracle、DB2数据库DBA或数据仓库架构设计经验，精通数据库管理与优化； 2. 精通ORACLE、DB2等主流数据库的管理，要求具备有较强的故障定位和问题分析、解决能力；具备一年以上Hadoop、GreenPlum、NoSQL等大数据技术平台实施、部署、优化经验； 3. 丰富的数据库维护经验，擅于分析运行瓶颈，并提供改进方案；精通数据库的性能优化、SQL调优技术，对高并发数据库的锁和事务隔离问题有深入理解；精通数据库容量规划和分表设计方法，有海量数据库设计和支持经验； 4. 熟悉UNIX/LINUX等主流OS平台，理解操作系统原理，具备脚本编写能力(SHELL/PERL/PYTHON)，并善于利用脚本解决问题； 5. 熟悉RAC/PureScale/GoldenGate/CDC等高可用技术； 6. 善于数据库架构的规划，能设计主机、存储、数据库的整体方案； 7. 具备医疗从业资格者优先； 8、工作认真，责任心强，良好的沟通技能、团队合作能力。	西太路777号西安国际医学中心
数据分析师	http://jobs.zhaopin.com/CC508620120J40017183812.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安-高新技术产业开发区	3-5年	本科	中软国际	上市公司	10000人以上	数据分析师	职位描述BI数据分析数据清洗 数据分析师职位要求  1、有数据分析、数据处理、大数据相关工作经验 2、有数据可视化展示工作经验 3、本科及以上，专业不限； 4、2年以上相关工作经验 优先条件： 1、有通信背景的优先	云水一路3639号
数据中台方案架构师	http://jobs.zhaopin.com/CC132230560J40068527706.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.2万-2万	西安	不限	大专	深圳市讯方技术股份有限公司	股份制企业	1000-9999人	数据中台方案架构师	职位描述数据中台数据架构大数据平台大数据架构Hadoop方案设计 西安（全国出差）  技能要求： 1、至少在电信行业内有从事解决方案规划、售前工作两年以上经验 2、对运营商业务体系架构、主流大数据技术(hadoop、MPP、PAAS等)比较熟悉 3、对运营商B、O数据体系比较了解 4、对解决方案设计、产品设计、需求管理等领域有实际工作经验 岗位职责： 参与大数据平台方案的设计、要素分析、业务流程梳理，开展客户交流，了解客户痛点及需求，并针对客户需求进行分析，依据公司产品设计、匹配相应方案。	华为西安研究所
DevOps数据工程师/分析师	http://jobs.zhaopin.com/CC000542945J00463033605.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安	1-3年	本科	华为技术有限公司	民营	10000人以上	DevOps数据工程师/分析师	职位描述数据分析数据采集数据建模SQL职责描述： 1. 负责DevOps体系数据的调研和收集，设计统一数据模型 2. 设计和实现DevOps领域的数据仓库，满足不同层次不同场景的需求，如离线多维度分析、即时查询、实时计算等 3. 分析和优化DevOps相关的指标体系，梳理数据资产，规划和落地数据治理，输出对周边系统的数据质量诉求 4. 负责基于云平台的数据的ETL开发、数据流设计和实现、数据任务的运维监控和优化 5. 构建数据中台，为各业务需求方提供有效数据、报表和报告 岗位要求： 1. 计算机、数学相关专业全日制本科以上学历 2. 3年以上的数据仓库、数据模型、ETL设计和实践经验 3. 精通数据库模型、数据仓库模型、数据治理的基本思想和理论 4. 精通SQL并具备3年以上的使用经验，熟悉Python或R 5. 2年以上的大数据平台（如Hadoop、Spark、Storm、Flink）的脚本和任务的开发经验 6. 3年以上的关系数据库的使用经验，如Mysql、Oracle、Postgresql等 7. 具备良好的沟通能力、团队协作能力和业务理解能力 8. 了解DevOps的理念、基本工具和流程；	华为研究所
数据分析师	http://jobs.zhaopin.com/CC267024480J40104341016.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"1.2万-1.6万
          · 13薪"	西安	5-10年	本科	西安远眺网络科技有限公司	民营	100-299人	数据分析师	职位描述数据分析Python数据清洗SPSSSQL数据监控大数据分析行业分析  岗位职责：  （1）深入了解业务，挖掘业务问题和痛点，通过分析提供数据和运营策略支持输出符合业务需求的数据分析框架和分析报告；  （2）能辅助进行数据清洗、数据加工处理、数据的提取、过滤和数据特征分析；  （3）善于整理数据和分析数据，总结数据的波动情况，对异常数据进行及时预警，定期形成相关的报表；  （4）规范常规数据报表，提供业务重点的数据视角，辅助业务管理深入；  （5）应用数据统计，数据挖掘的专业知识和技能，获取数据并对数据做出可以影响实际决策的解读，获取并了解产品的发展趋势和改进方向。  任职要求：  （1）大学本科以上学历，并对大数据处理和分析以及数据驱动的决策流程有一定的经验；  （2）具有良好的编程能力和编程经验，熟悉至少一门开发语言，包括但不限于Python、Java；  （3）具备数据分析经验，为产品、运营或其他部门提供分析性洞察和报告的经验；  （4）熟练掌握SQL以及EXCEI、PPT等，能独立处理数据、数据分析以及数据展示；  （5）精通至少一种数据分析挖掘软件操作，如SAS，SPSS等；  （6）熟练掌握常用统计分析方法和统计学习模型；  （7）对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力；具备良好的沟通能力和团队合作精神。 发展及福利待遇：  （1） 提供发展机会：纯技术和管理层两个方向的晋升；  （2）入职即为员工缴纳五险一金，话费、交通、误餐等补贴；  （3）周末双休、法定节假日、带薪年假；  （4）节日礼品及生日福利，年终奖金、项目奖金；  （5）每年年度健康体检；  （6）工作日免费提供早餐牛奶、午餐水果；  （7）不定期的团建及旅游活动，日常提供丰富的娱乐设施。	西安市高新区科技三路汇豪树中心B座东户21层
西安-数据分析	http://jobs.zhaopin.com/CC820028600J40070207112.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	4千-7千	西安-未央区	1年以下	大专	成都六玥海棠网络科技有限公司	其它	20-99人	西安-数据分析	职位描述数据分析技能要求：数据挖掘，行业分析，数据采集对于实习生：我们相信你的学习能力、并为你提供全方位的技术学习指导、温馨松快的工作环境。对于正式员工：我们提供五险一金、全年14薪、股票期权、带薪年假、带薪病假、定期体检、定期团建、定期旅游、零食下午茶，等等。 职位描述： 1、配合业务需求部门，进行基础数据处理和分析，维护日常业务报表； 2、参与业务数据分析，识别并解决业务问题； 3、与各业务部门沟通协调，接入相关数据。  任职要求： 1、大专及以上学历，统计、信息管理等专业优先； 2、具备大数据处理能力，掌握SQL，熟练操作excel和数据库，熟练使用数据透视表； 3、踏实，严谨，具有一定的数据敏感性。	凤城二路新世纪大厦
数据库运维工程师	http://jobs.zhaopin.com/CC308441412J00480792806.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-高新技术产业开发区	3-5年	本科	陕西万德信息科技股份有限公司	民营	500-999人	数据库运维工程师	职位描述DB2DBAOracle信息安全网络安全 工作职责：  1、负责生产环境Oracle/DB2及大数据类常用数据库高可用、分布式架构类的数据库运维管理。 2、负责数据库的日常检查，包括日志分析，性能指标收集，日常故障排错,处理运维中数据库各类事件或故障的处理,和定期优化。 3、负责数据库的备份管理、灾备管理，监控备份和灾备情况，并定期进行备份恢复测试，充分保证数据库稳定运行。 4、负责数据库集群系统的智能监控、性能优化、性能调优，保证数据库系统高效运行。 5、评估数据库性能和运行状态, 建立量化指标, 撰写故障报告、运维报告、性能报告等，撰写相关的技术和运维手册。 6、具有高度的责任感和敬业精神，能够承受较大的工作压力。  任职要求：  1、本科及以上学历，具有3年以上相关工作经验。 2、熟悉基于ITIL的运维服务、运维管理及应急事件处理流程。 3、熟悉Oracle/DB2数据库管理维护。 4、熟悉Hadoop生态圈Hadoop、Kafka、Zookeeper、HBase、Spark、Hive等的安装配置和优化。 5、具有初级及以上认证，两周内能入职者优先考虑。	茶张路1号
数据库（开发&测试&运维）	http://jobs.zhaopin.com/CC508620120J40143218812.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安-雁塔区	1-3年	本科	中软国际	上市公司	10000人以上	数据库（开发&测试&运维）	职位描述MySQLMongoDBDBAOracle 1 2年以上 MySQL 管理经验,了解各存储引擎不同场景下的优势,清晰理解my.cnf各参数,精于系统级的配置优化,和应用级的库表优化,以及实施过成熟可靠的高可用、负载均和衡架构伸缩方案。 2 熟悉常用存储引擎如innodb/myisam/ndb的功能和特点以及主从复制原理和实践。 3 Redis/Mongo/ Memcache 至少2年实际使用经验,熟练掌握高可用配置和部署。 4 熟悉linux系统基本操作,熟悉Shell脚本编程及常用Linux系统管理命令,至少掌握一种熟练的语言(shell/python/go等)。 5 有较丰富的开源项目使用经验,对分布式数据库有一定的了解。 6 具有团队合作精神,思维清晰,细致耐心,责任心强,能独立完成工作,承受较大工作压力。 7 有大数据运维经验更优。	云水一路3639号
数据中台方案架构师	http://jobs.zhaopin.com/CC000544460J40039620716.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.2万-2.4万	西安	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	数据中台方案架构师	职位描述Hadoop电信行业大数据平台Paas产品设计1、至少在电信行业内有从事解决方案规划、售前工作两年以上经验2、对运营商业务体系架构、主流大数据技术(hadoop、MPP、PAAS等)比较熟悉3、对运营商B、O数据体系比较了解4、对解决方案设计、产品设计、需求管理等领域有实际工作经验    参与大数据平台方案的设计、要素分析、业务流程梳理，开展客户交流，了解客户痛点及需求，并针对客户需求进行分析，依据公司产品设计、匹配相应方案。	西安市锦业路丈八七路华为西安研究所
数据分析师（非建模）	http://jobs.zhaopin.com/CC139131340J40027370011.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	2.5千-2.8千	西安-雁塔区	无经验	本科	亚信科技(中国)有限公司	民营	10000人以上	数据分析师（非建模）	职位描述Python数据分析< 职责描述：1、负责数据应用支撑，实时搜集、更新、汇总数据，并形成常态化通报；2、根据已有指标体系，通过监控分析及时发现业务数据问题；3、协助撰写数据分析报告。任职要求：1、本科学历及以上，2021年7月以后毕业，计算机、统计、数学等相关专业优先，能保证一周五天的正常工作时间；2、学习、适应能力强，具备逻辑思维、分析能力，对数据敏感，熟练使用常规办公软件（Excel、word、PPT）等；3、熟练掌握excel，常规函数（sum、vlookup等）、数据透视表、图表制作等；4. 了解my SQL /SQL server等大数据平台的使用方法加分；实习时间：本次招聘主要面对2021年毕业大学生或研究生，未来期望转正人员准备。	锦业一路中国移动
校园招聘-数据开发工程师	http://jobs.zhaopin.com/CC201234310J40105607502.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安	无经验	本科	兴业银行	银行	10000人以上	校园招聘-数据开发工程师	职位描述数据库开发岗位职责：1、从事大数据平台或大数据产品的设计、开发、优化工作；2、利用大数据相关技术实现对数据的采集、分析、挖掘、可视化，让数据充分发挥价值；3、开发金融业相关的风险控制、精准营销、数字化运营等相关数据产品。进行大数据相关的新技术研究，提高技术创新能力。岗位要求：1、本科及以上学历，计算机或数学、物理、统计学相关专业，2021年、2022年应届毕业生；2、具备全面、扎实的软件基础知识，掌握操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全等专业知识；3、编程基本功扎实，掌握常用算法和数据结构；4、了解Linux基本操作，至少熟练使用C/C++/Java/Python/SQL中的一种，了解MySQL等数据库。工作地点：上海、福州、成都、杭州、深圳、北京、广州、南京、西安、武汉	西安
报表开发工程师	http://jobs.zhaopin.com/CC000421286J00362533001.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"6千-1.2万
          · 15薪"	西安-雁塔区	3-5年	大专	上扬软件（上海）有限公司	外商独资	100-299人	报表开发工程师	职位描述PythonMySQLJavaOracle岗位职责：1.参与需求分析，从系统角度有效分析业务需求；2.进行报表数据仓库建模，生成数据模型 3.依托报表工具，完成固定报表或分析报表设计与开发4.参与新技术调研，对新技术保持敏感，并根据业务需要选择开发方案5.参与数据应用产品的测试及部署工作。任职要求：1.精通至少一种主流数据库MySQL、Oracle，并熟练编写sql脚本；2.精通一种以上国内报表工具：如FineReport、FineBI、Tableau、Power Bi等，并进行相关设置和开发；3.对数据分析、BI等技术有一定了解,能够使用Java或Python等开发语言进行开发工作；4.对大数据等相关技术有浓厚兴趣，愿意对其进行研究学习；5.毕业后从事3年以上报表开发相关工作经验6.具备基础的英语读写能力，交流更佳7.能够接受适当出差；具备良好的沟通能力，具有团队协作精神。PS：半导体、太阳能光伏、LED制造业相关企业的应聘人员，条件可以放宽。福利待遇：1.周一至周五上班，周末双休；2.入职即购买社保、公积金，享受带薪年假；3.提供午餐补贴、通讯补贴、医药补贴、出差补贴、年终奖；4.提供人性化的员工关怀和管理氛围，让员工在公司快乐工作、幸福生活；5.提供岗位职业培训，有完善的调薪、晋升机制，期权激励，为员工提供广阔的个人发展空间。	丈八6路瞪羚谷产业园B座
数据分析师	http://jobs.zhaopin.com/CC497186880J40110035702.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1.4万	西安	3-5年	大专	西安博文同创信息技术有限公司	其它	20-99人	数据分析师	职位描述数据分析数据挖掘SparkHadoop岗位职责：   1、海量大数据分析、数据挖掘，负责分析和评估数据质量，提升数据治理的水平并指导数据采集    2、负责数据分析、加工、清理、预处理等数据质量分析工作    3、能够熟练使用Python编程,掌握numpy、pandas、matplotlib等常用分析工具包    4、能针对特定的业务场景，从数据中建模，解决问题    5、善于撰写文档，善于积累和输出者优先  任职要求：   1、大专及以上学历，计算机、数理统计、机器学习、人工智能相关专业毕业优先，基础功底扎实，硕士优先；    2、对oracle、MongoDb、hadoop，MySql、Redis熟悉优先；    3、熟悉hadoop生态系统内常见项目的使用（hdfs、hive、hbase、spark、storm、zookeeper、kafka、yarn等）    4、熟悉数据仓库领域知识和技能者优先，包括但不局限于：元数据管理、数据开发测试工具与方法、数据质量、主数据管理，可以灵活运用SQL实现海量数据ETL加工处理    5、具有团队合作精神，良好的沟通协作能力，善于分析问题本质并解决问题，善于学习，乐于分享	三门峡五原西路文博城东门运营指挥中心
数据安全工程师	http://jobs.zhaopin.com/CC508620120J40061368212.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安-雁塔区	5-10年	本科	中软国际	上市公司	10000人以上	数据安全工程师	职位描述数据仓库架构数据安全SparkHDFSHiveHbase数据安全工程师： 3人  理论技能：1） 熟悉数据安全相关法律法规及业界标准，有数据安全培训及数据安全规范及法规解读的工作经验；2） 熟悉业界数据安全的分类分级实践，以及为不同层级的数据提供安全防护能力，有数据安全治理经验优先，负责过数据安全KPI制定、度量等；3） 熟悉网络安全知识，熟悉业界网络安全标准及云安全标准，有一定的安全治理经验；技术技能：1） 掌握至少一门编程语言，如JAVA；2） 熟悉SQL语句编写以及性能优化，熟练掌握常用数据库开发工具；3） 熟悉spark,hdfs,hive,hbase等大数据相关技术，具有相关开发经验者优先；沟通技能：1） 具备较强的沟通协调能力，有项目管理经验者优先；	云水一路中软国际
DBA（售前）	http://jobs.zhaopin.com/CC401559420J40106256307.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2.5万	西安-碑林区	5-10年	大专	云和恩墨	民营	500-999人	DBA（售前）	职位描述OracleDBA数据库解决方案售前  职责描述：  1、深刻理解客户的业务需求、非功能需求和流程需求，针对需求编写演示材料，技术方案和所需的其他技术文档；  2、完成市场调研与竞争对手分析，协助制定产品竞争策略；  3、负责售前阶段的技术交流、方案设计、概念验证等工作；  4、负责针对不同场景、不同产品类型的场景业务，结合自有产品为客户出具解决方案；  5、按时完成安排的其他任务。    任职要求：  1、本科及以上学历，5年以上IT咨询售前或项目管理工作经验优先；  2、具备独立实施项目的经验；能够独立完成项目相关的售前沟通、调研、方案编写，具有5个以上完整售前工作经验；具有数据中心容灾/迁移经验、数据中心架构规划经验、IT解决方案设计经验；  3、熟悉行业IT应用现状及发展趋势；5年以上Oracle数据库相关工作经验，熟悉Oracle、MySQL数据库的体系架构及工作原理，对数据库运维、调优、升级迁移、高可用架构、故障诊断、DevOps、自动化运维等有深刻的理解与实践积累，有OCP或OCM证书优先。熟悉云化IT架构，对云计算、大数据相关技术及应用有基本认知；  4、具有良好的需求分析能力和文字表达能力，有较强的组织协调能力；  5、具备优秀的文档能力和良好的公开演讲技能，使用文字、图示清楚地表达架构意图，能够熟练编写各类技术文档；  6、学习能力强，强烈的目标感，具备利他精神、团队合作意愿强烈；  7、业务敏感度高，善于发现新业务机会，有较强的自我管理能力，善于协调团队内部资源来实现目标；  8、出色的沟通和交流技巧，良好的进取心，团队合作精神和双赢思维；  9、能适应因工作性质的出差。    公司福利：  1、保险类：入职即缴纳五险一金；  2、补贴类：午餐补助、通讯补助、交通补助等；  3、福利类：节日礼金、生日礼金等；  4、其他类：年度团建、下午茶、学习基金等。	西安市碑林区南关正街以西中贸广场15幢4单元2203室
